,ALDER,KOMGRP,TID,INDHOLD
188,15-19 år,Skanderborg,2024,4514
189,15-19 år,Syddjurs,2024,2572
190,15-19 år,Aarhus,2024,18317
191,15-19 år,Herning,2024,5864
192,15-19 år,Holstebro,2024,3921
193,15-19 år,Ikast-Brande,2024,2891
194,15-19 år,Lemvig,2024,1119
195,15-19 år,Ringkøbing-Skjern,2024,3800
196,15-19 år,Skive,2024,2774
197,15-19 år,Struer,2024,1364
198,15-19 år,Viborg,2024,6868
199,15-19 år,Brønderslev,2024,2417
200,15-19 år,Frederikshavn,2024,3191
201,15-19 år,Hjørring,2024,3880
202,15-19 år,Jammerbugt,2024,2348
203,15-19 år,Læsø,2024,62
204,15-19 år,Mariagerfjord,2024,2476
205,15-19 år,Morsø,2024,1243
206,15-19 år,Rebild,2024,2038
207,15-19 år,Thisted,2024,2718
208,15-19 år,Vesthimmerlands,2024,2212
209,15-19 år,Aalborg,2024,12102
210,20-24 år,Hele landet,2024,379082
211,20-24 år,Hovedstadskommuner,2024,125575
212,20-24 år,Storbykommuner,2024,89846
213,20-24 år,Provinsbykommuner,2024,73838
214,20-24 år,Oplandskommuner,2024,39277
215,20-24 år,Landkommuner,2024,50546
216,20-24 år,København,2024,66587
217,20-24 år,Frederiksberg,2024,9389
218,20-24 år,Dragør,2024,391
219,20-24 år,Tårnby,2024,2094
220,20-24 år,Albertslund,2024,2081
221,20-24 år,Ballerup,2024,3083
222,20-24 år,Brøndby,2024,2730
223,20-24 år,Gentofte,2024,3472
224,20-24 år,Gladsaxe,2024,4348
225,20-24 år,Glostrup,2024,1538
226,20-24 år,Herlev,2024,1750
227,20-24 år,Hvidovre,2024,3063
228,20-24 år,Høje-Taastrup,2024,3759
229,20-24 år,Ishøj,2024,1661
230,20-24 år,Lyngby-Taarbæk,2024,4696
231,20-24 år,Rødovre,2024,2479
232,20-24 år,Vallensbæk,2024,1103
233,20-24 år,Allerød,2024,953
234,20-24 år,Egedal,2024,1842
235,20-24 år,Fredensborg,2024,1627
236,20-24 år,Frederikssund,2024,2061
237,20-24 år,Furesø,2024,1552
238,20-24 år,Gribskov,2024,1648
239,20-24 år,Halsnæs,2024,1266
240,20-24 år,Helsingør,2024,2841
241,20-24 år,Hillerød,2024,2938
242,20-24 år,Hørsholm,2024,845
243,20-24 år,Rudersdal,2024,2613
244,20-24 år,Bornholm,2024,1280
245,20-24 år,Christiansø,2024,2
246,20-24 år,Greve,2024,2553
247,20-24 år,Køge,2024,3193
248,20-24 år,Lejre,2024,1105
249,20-24 år,Roskilde,2024,5564
250,20-24 år,Solrød,2024,993
