,mpg,milage,maketype,car_id,region,price,make,type,scrapedate,alder,ccm2,doors,aldercat,navn
416,15.4,91000.0,"Ford C-MAX 1,5 SCTi 182 Titanium aut. 5d",5554076,Syd- og Vestsjælland,194800.0,Ford,C-MAX,2022-11-08 22:29:38.772658,7,1500.0,5d,veteran,Region Sjælland
417,18.0,23000.0,"Ford Focus 1,5 EcoBoost ST-Line Business aut. 5d",5538322,Syd- og Sønderjylland,259800.0,Ford,Focus,2022-11-08 22:29:38.772658,3,1500.0,5d,veteran,Region Syddanmark
418,23.7,4000.0,"Ford Fiesta 1,0 EcoBoost mHEV ST-Line 5d",5538058,København,219900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Hovedstaden
419,26.3,65000.0,"Toyota Aygo 1,0 VVT-i x-cite 5d",5599017,Østjylland,89900.0,Toyota,Aygo,2022-11-08 22:29:38.772658,5,1000.0,5d,veteran,Region Midtjylland
420,19.3,52000.0,"Volvo V40 1,5 T3 152 Dynamic Edition aut. 5d",5584006,Syd- og Sønderjylland,259900.0,Volvo,V40,2022-11-08 22:29:38.772658,3,1500.0,5d,veteran,Region Syddanmark
421,26.3,117000.0,"Toyota Aygo 1,0 VVT-i x-press 5d",5599035,Østjylland,59900.0,Toyota,Aygo,2022-11-08 22:29:38.772658,8,1000.0,5d,veteran,Region Midtjylland
422,21.6,28000.0,"Ford Focus 1,0 EcoBoost ST-Line stc. 5d",5583982,Vestjylland,254080.0,Ford,Focus,2022-11-08 22:29:38.772658,2,1000.0,5d,veteran,Region Syddanmark
423,23.3,119000.0,"Ford Fiesta 1,0 EcoBoost Titanium X 5d",5393838,Syd- og Sønderjylland,105900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,7,1000.0,5d,veteran,Region Syddanmark
424,28.9,31000.0,"Toyota Aygo 1,0 VVT-i x-style 5d",5539219,København,119900.0,Toyota,Aygo,2022-11-08 22:29:38.772658,3,1000.0,5d,veteran,Region Hovedstaden
425,21.6,54186.0,"Toyota Yaris 1,5 VVT-iE T3 Smart 5d",5480435,København,152900.0,Toyota,Yaris,2022-11-08 22:29:38.772658,3,1500.0,5d,veteran,Region Hovedstaden
426,22.2,114000.0,"Ford Fiesta 1,0 EcoBoost Vignale 5d",5525308,Østjylland,154500.0,Ford,Fiesta,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Midtjylland
427,14.3,227000.0,"Toyota Corolla 1,6 Terra 5d",5613676,Syd- og Vestsjælland,19900.0,Toyota,Corolla,2022-11-08 22:29:38.772658,14,1600.0,5d,veteran,Region Sjælland
428,20.8,46000.0,"Ford Focus 1,0 SCTi 125 Titanium+ stc. 5d",5613030,Syd- og Sønderjylland,179900.0,Ford,Focus,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Syddanmark
429,22.0,71000.0,"Ford Fiesta 1,0 EcoBoost ST-Line 5d",5583904,København,164900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Hovedstaden
430,19.2,23000.0,"Ford Fiesta 1,0 EcoBoost Titanium aut. 5d",5569104,Nordsjælland,199400.0,Ford,Fiesta,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Sjælland
431,20.4,98000.0,"Ford Ka 1,2 Titanium 3d",5569095,København,49900.0,Ford,Ka,2022-11-08 22:29:38.772658,7,1200.0,3d,veteran,Region Hovedstaden
432,13.0,510300.0,"Toyota Corolla Verso 1,8 Terra 7prs 5d",5613260,Syd- og Vestsjælland,14900.0,Toyota,Corolla,2022-11-08 22:29:38.772658,18,1800.0,5d,veteran,Region Sjælland
433,26.3,85000.0,"Toyota Aygo 1,0 VVT-i x-press 5d",5591096,København,62990.0,Toyota,Aygo,2022-11-08 22:29:38.772658,7,1000.0,5d,veteran,Region Hovedstaden
434,9.2,46000.0,"Ford Mustang 4,9 aut. 2d",5561124,Syd- og Sønderjylland,255855.0,Ford,Mustang,2022-11-08 22:29:38.772658,48,4900.0,2d,veteran,Region Syddanmark
435,20.8,88000.0,"Ford Focus 1,0 SCTi 125 Titanium stc. 5d",5612991,Syd- og Vestsjælland,169900.0,Ford,Focus,2022-11-08 22:29:38.772658,5,1000.0,5d,veteran,Region Sjælland
436,19.6,84000.0,"Ford C-MAX 1,0 SCTi 125 Titanium 5d",5618038,Østjylland,114900.0,Ford,C-MAX,2022-11-08 22:29:38.772658,9,1000.0,5d,veteran,Region Midtjylland
437,22.9,74000.0,"Ford Focus 1,0 EcoBoost ST-Line 5d",5598816,Syd- og Vestsjælland,189800.0,Ford,Focus,2022-11-08 22:29:38.772658,3,1000.0,5d,veteran,Region Sjælland
438,24.2,4.0,"Ford Fiesta 1,0 EcoBoost mHEV Titanium 5d",5546360,Østjylland,229900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,0,1000.0,5d,veteran,Region Midtjylland
439,13.5,67086.0,"Ford Mondeo 1,5 EcoBoost Titanium aut. 5d",5553779,Syd- og Vestsjælland,249900.0,Ford,Mondeo,2022-11-08 22:29:38.772658,4,1500.0,5d,veteran,Region Sjælland
440,18.2,71000.0,"Ford Focus 1,0 SCTi 125 Titanium stc. aut. 5d",5525211,Nordsjælland,189900.0,Ford,Focus,2022-11-08 22:29:38.772658,6,1000.0,5d,veteran,Region Sjælland
441,23.3,165000.0,"Ford Fiesta 1,0 SCTi 125 Titanium 5d",5619901,Syd- og Vestsjælland,79500.0,Ford,Fiesta,2022-11-08 22:29:38.772658,5,1000.0,5d,veteran,Region Sjælland
442,23.3,143000.0,"Ford Fiesta 1,0 SCTi 125 Titanium 5d",5620278,Syd- og Vestsjælland,79500.0,Ford,Fiesta,2022-11-08 22:29:38.772658,8,1000.0,5d,veteran,Region Sjælland
